"Azure SQL Database","Provides create, read, update and delete functionality for Azure SQL Database resources including se",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2017-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database replication links","Provides read, delete, and failover functionality for Azure SQL Database replication links.",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2017-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database API spec","The Azure SQL Database management API provides a RESTful set of web services that interact with Azur",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database","Provides create, read, update and delete functionality Azure SQL server communication links.",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2017-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database","Provides create, read, update and delete functionality for Azure SQL Database resources including se",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database","Provides create, read, update and delete functionality for Azure SQL Database resources including re",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
StorageManagement,"The Azure Storage Management API.",2017-10-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
StorageImportExport,"The Storage Import/Export Resource Provider API.",2016-11-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
StorSimple8000SeriesManagementClient,,2017-06-01,"24-04-2017 10:15:00","19-02-2018 08:41:37"
StreamAnalyticsManagementClient,,2016-03-01,"20-09-2017 08:49:01","19-02-2018 08:41:37"
StreamAnalyticsManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
StreamAnalyticsManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
StreamAnalyticsManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
StreamAnalyticsManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
StreamAnalyticsManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SubscriptionDefinitionsClient,"Subscription definitions client provides an interface to create, modify and retrieve azure subscript",2017-11-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
TimeSeriesInsightsClient,"Time Series Insights client",2017-11-15,"04-12-2017 09:12:06","19-02-2018 08:41:37"
TrafficManagerManagementClient,,2017-05-01,"16-08-2016 19:40:16","19-02-2018 08:41:37"
TrafficManagerManagementClient,,2017-09-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Visual Studio Resource Provider Client","Use these APIs to manage Visual Studio Team Services resources through the Azure Resource Manager. A",2017-11-01-preview,"20-09-2017 08:49:01","19-02-2018 08:41:37"
"AppServiceCertificateOrders API Client",,2015-08-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
"AppServicePlans API Client",,2016-09-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
"CertificateRegistrationProvider API Client",,2015-08-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Certificates API Client",,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"DeletedWebApps API Client",,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Diagnostics API Client",,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"DomainRegistrationProvider API Client",,2015-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Domains API Client",,2015-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Provider API Client",,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
"Recommendations API Client",,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
" API Client",,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"TopLevelDomains API Client",,2015-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
LogicAppsManagementClient,,2015-08-01-preview,"27-05-2016 21:37:56","19-02-2018 08:41:37"
"WebSite Management Client","Use these APIs to manage Azure Websites resources through the Azure Resource Manager. All task opera",2015-08-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Radio & Music Services","We encapsulate Radio & Music business logic for iPlayer Radio and BBC Music products on all platform",1.0.0,"10-07-2017 12:05:11","25-09-2017 12:07:00"
"BBC Nitro","BBC Nitro is the BBC's application programming interface (API) for BBC Programmes Metadata.",1.0.0,"20-12-2015 14:56:28","20-11-2017 15:10:56"
"BBC iPlayer Business Layer","The definitive iPlayer API.",1.0,"14-04-2016 12:48:50","20-11-2017 15:10:56"
"BC Laws","BC Laws is an electronic library providing free public access to the laws of British Columbia. BC La",1.0.0,"20-04-2017 18:04:18","25-11-2017 10:53:03"
"Beanstream Payments",https://www.beanstream.com/api/v1,1.0.1,"22-09-2015 16:21:28","04-04-2017 17:27:32"
BeezUP,"# The REST API of BeezUP system
## Overview
The REST APIs provide programmatic access to read and wr",2.0,"24-04-2017 21:26:55","19-02-2018 08:08:39"
"Betfair: Exchange Streaming","API to receive streamed updates. This is an ssl socket connection of CRLF delimited json messages (s",1.0.1423,"26-11-2017 18:06:14","27-11-2017 12:30:31"
BigOven,"#Documentation

This is the documentation for the partner endpoint of the BigOven Recipe and Groce",partner,"06-04-2016 00:54:25","11-12-2017 13:15:36"
"BikeWise API v2","<p>This is an API for accessing information about bicycling related incidents. You can find the sour",v2,"13-07-2015 11:41:15","20-11-2017 15:10:56"
Bitbucket,"Code against the Bitbucket API to automate simple tasks, embed Bitbucket data into your own site, bu",2.0,"09-09-2016 08:57:20","30-05-2017 13:23:20"
"Blazemeter API Explorer","Live API Documentation",4,"28-11-2017 18:45:29","05-02-2018 08:23:20"
"IBM Containers","Containers are virtual software objects that include all the elements that an app needs to run. A co",3.0.0,"13-02-2017 12:25:20","09-11-2017 17:09:18"
Botify,"Botify Saas API",1.0.0,"21-02-2016 16:54:05","19-02-2018 08:08:39"
"Box 2.0 Authorization","The Box Authorization API gives you access to authenticate and authorize an application to work with",2.0,"30-05-2017 11:13:24","30-05-2017 11:13:24"
"Box 2.0","The Box Content API gives you access to secure content management and content experience features fo",2.0,"30-05-2017 11:13:24","27-06-2017 16:49:57"
"Box 2.0 OAuth2 Token","The Box Token API provides methods to retrieve an access token and revoke an access token. An access",2.0,"30-05-2017 11:13:24","27-06-2017 16:49:57"
"Box 2.0 Uploads","The Box Uploads API allows users to add a new file or add a new file version in the same way as uplo",2.0,"30-05-2017 11:13:24","11-07-2017 07:50:08"
"BrandLovers Marketplace API V1","Allows sellers to: 1) Load products definitions to the BrandLovers marktplace. 2) Receive and update",1.0.0,"14-06-2016 11:22:01","29-01-2018 11:16:07"
Browshot,"Take screenshots of any website in real time",1.17.0,"01-02-2017 13:18:29","04-04-2017 17:27:32"
Bufferapp,"Social media management for marketers and agencies",1,"27-11-2015 02:11:59","04-04-2017 17:27:32"
Bungie.Net,"These endpoints constitute the functionality exposed by Bungie.net, both for more traditional websit",2.0.0,"29-08-2017 05:47:57","26-10-2017 12:46:47"
CallFire,CallFire,V2,"04-09-2017 13:31:34","04-01-2018 14:42:04"
Cambase.io,"Cambase.io is a project by Evercam.io in order to make it easier for software developers to have a r",1.0,"13-07-2015 11:41:15","20-11-2017 15:10:56"
"EVE Swagger Interface","An OpenAPI for EVE Online",0.7.5,"11-12-2017 13:15:36","19-02-2018 08:08:39"
"Cenit IO - REST API Specification","Cenit IO is an Open Platform for Data and Business Integration (iPaaS)
",v1,"11-10-2016 20:15:56","04-04-2017 17:27:32"
"Channel 4","This is the place to come for all the technical details you need to power your applications with Cha",1.0.0,"27-06-2016 13:56:46","04-04-2017 17:27:32"
CircleCI,"The CircleCI API is a RESTful, fully-featured API that allows you to do almost anything in CircleCI.",v1,"16-01-2017 20:50:47","04-04-2017 17:27:32"
"REST API Version 2","Circuit REST API to interact with the Circuit system.

[Learn more about the Circuit Development Com",2.9.66,"11-12-2017 13:15:36","05-02-2018 08:23:20"
"Cisco PSIRT openVuln","The Cisco Product Security Incident Response Team (PSIRT) openVuln API is a RESTful API that allows ",0.0.3,"14-09-2016 11:20:07","04-04-2017 17:27:32"
GoToMeeting,"<br>The GoToMeeting API provides seamless integration of GoToMeeting provisioning and meeting manage",1.0.0,"24-10-2015 02:39:33","01-02-2018 07:11:28"
SCIM,"The SCIM API lets you manage users in your organization. You can then automate the provisioning of p",N/A,"06-11-2015 17:45:48","01-02-2018 07:11:28"
"City Context","City Context provides a straightforward API to access UK Open Data: crime statistics, schools, demog",1.0.0,"13-07-2015 11:41:15","20-11-2017 15:10:56"
Clarify,"The API to Search and Understand Audio & Video Data.",1.3.7,"30-07-2015 15:41:50","22-01-2018 15:44:32"
Clever-Cloud,"Public API for managing Clever-Cloud data and products",1.0.0,"26-11-2017 10:49:07","22-01-2018 15:44:32"
Data,"Serves the Clever Data API",1.2.0,"24-02-2018 16:46:58","24-02-2018 16:46:58"
ClickMeter,"Api dashboard for ClickMeter API",v2,"11-06-2015 00:06:11","04-04-2017 17:27:32"
ocrapi,,v1,"22-01-2018 14:08:47","22-01-2018 14:08:47"
"Cnab Online","Processe arquivos de retorno CNAB",1.0.0,"10-04-2017 06:44:10","10-04-2017 06:44:10"
"The Consumer Financial Protection Bureau","Learn more about home mortgage data, download the data yourself, or build new tools using our API.",1.0,"29-11-2015 02:15:33","04-10-2017 09:28:05"
"CORE API v2","<p style=""text-align: justify;"">You can use the CORE API to access the 
    resources harvested and ",2.0,"25-08-2015 07:36:07","19-02-2018 08:08:39"
"EU BON UTIS","The Unified Taxonomic Information Service (UTIS) is the taxonomic backbone for the EU-BON project",1.0,"19-09-2015 02:16:17","19-02-2018 08:08:39"
Regulations.gov,"Provides public users access to federal regulatory content.",3.0,"29-11-2015 05:55:33","19-02-2018 08:08:39"
Data2CRM.API,"<p>Make use of our in-depth documentation to get more information about the various functions of the",1,"09-03-2016 05:58:34","04-04-2017 17:27:32"
"Open Skills","A complete and standard data store for canonical and emerging skills, knowledge, abilities, tools, t",1.0,"04-09-2017 14:08:53","04-09-2017 14:08:53"
DatumBox,"Datumbox offers a Machine Learning platform composed of 14 classifiers and Natural Language processi",1.0,"16-06-2015 17:18:08","20-11-2017 15:10:56"
"Deep Art Effects",,2017-02-10T16:24:46Z,"26-11-2017 17:48:18","26-11-2017 17:48:18"
Betriebsstellen,"This REST-API enables you to query station and stop infos",v1,"08-05-2017 14:44:53","31-07-2017 11:42:10"
Fahrplan-Free,"A RESTful webservice to request a railway journey - FREE plan with restricted access (max. 10 reques",v1,"08-05-2017 14:44:53","31-07-2017 11:42:10"
FaSta-Station_Facilities_Status,"A RESTful webservice to retrieve data about the operational state of public elevators and escalators",v1,"08-05-2017 14:44:53","31-07-2017 11:42:10"
Flinkster_API_NG,"This REST-API enables you to query for private transport sharing offers provided by companies and ci",v1,"08-05-2017 14:44:53","31-07-2017 11:42:10"
Reisezentren-API,"This REST-API enables you to query information about travel centers in Germany.",v1,"08-05-2017 14:44:53","19-12-2017 15:07:24"
Stationsdatenbereitstellung,"An API providing master data for german railway stations by DB Station&Service AG.",2.2.01,"08-05-2017 14:44:53","23-10-2017 13:10:35"
DLx,"The Digital Linguistics (DLx) REST API",0.3.1,"23-02-2018 08:02:32","23-02-2018 08:02:32"
DocuSign,"The DocuSign REST API provides you with a powerful, convenient, and simple Web services API for inte",v2,"15-08-2017 10:57:49","15-08-2017 10:57:49"
domainsdb.info,"Registered domains search checks the lists of registered domains for names containing particular wor",1.0.0,"20-09-2017 14:06:35","20-09-2017 14:06:35"
DRACOON,"REST Web Services for DRACOON.<br> Version. 4.5.0  - built at: 1517571015562",4.5.0,"28-02-2018 18:06:22","28-02-2018 18:06:22"
DropX,"dropX.io API provides programmatic access to the e-commerce intelligence data.",1.0.0,"31-08-2017 08:07:31","31-08-2017 08:07:31"
dweet.io,"Dweet.io allows users to share data from mobile, tablets, and pcs, and them to other devices and acc",2.0,"11-11-2015 23:20:20","23-10-2017 13:10:35"
"API to View & Search for Items","The Browse API lets shoppers search for specific items by keyword, category, product, or item aspect",v1_beta.10.0,"31-07-2017 09:48:45","19-02-2018 08:08:39"
"Item Feed Service","The Feed API provides the ability to download daily TSV_GZIP feed files containing all the newly lis",v1_beta.3.0,"27-11-2017 09:31:58","29-01-2018 10:51:01"
"Buy Marketing","The Marketing API retrieves eBay products based on a metric, such as Best Selling, as well as produc",v1_beta.1.0,"31-07-2017 09:48:45","27-11-2017 09:45:01"
Taxonomy,"Use the Taxonomy API to discover the most appropriate eBay categories under which sellers can offer ",v1_beta.1.0,"31-07-2017 09:48:45","27-11-2017 09:45:01"
Fulfillment,"Use the Fulfillment API to complete the process of packaging, addressing, handling, and shipping eac",1.3.0,"27-11-2017 09:31:58","27-11-2017 09:31:58"
"API v1.0.0","
[![Run in Postman](https://run.pstmn.io/button.svg)](https://app.getpostman.com/run-collection/78a",v1,"01-02-2018 06:39:42","01-02-2018 06:39:42"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Clean Air Act","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",0.0.0,"21-03-2017 21:46:37","13-11-2017 17:00:58"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Enforcement Case Search","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",1.0.0,"21-03-2017 21:46:37","19-02-2018 08:08:39"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Clean Water Act (CWA) Rest Services","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",0.0.0,"21-03-2017 21:46:37","19-02-2018 08:08:39"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Detailed Facility Report (DFR)","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",0.0.0,"21-03-2017 21:46:37","13-11-2017 17:00:58"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - All Data","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",1.0.0,"21-03-2017 21:46:37","13-11-2017 17:00:58"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Effluent Charting and Reporting","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",1.0.0,"21-03-2017 21:46:37","13-11-2017 17:00:58"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Resource Conservation and Recovery Act ","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",0.0.0,"21-03-2017 21:46:37","13-11-2017 17:00:58"
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Safe Drinking Water Act","Enforcement and Compliance History Online (ECHO) is a tool developed and maintained by EPA's Office ",0.0.0,"21-03-2017 21:46:37","20-09-2017 08:20:19"
"EtMDB REST API v1","The Ethiopian Movie Database",1.0.0,"16-10-2017 11:42:42","22-01-2018 15:44:32"
Europeana,"This Swagger API console provides an overview of an interface to the Europeana REST API. You can bui",2.3.0,"13-07-2016 20:28:00","05-02-2018 07:13:13"
ExaVault,"ExaVault's API allows you to incorporate ExaVault's suite of file transfer and user management tools",1.0.0,"30-06-2015 22:26:14","20-11-2017 15:10:56"
Figshare,"Figshare apiv2. Using Swagger 2.0",2.0.0,"05-07-2017 21:35:01","19-02-2018 08:08:39"
"FireBrowse Beta API","A simple and elegant way to explore cancer data","1.1.35 (2017-06-07 14:29:58 28726ab6ba294a2d7961ce37)","03-07-2015 15:51:44","20-11-2017 15:10:56"
Flat,"The Flat API allows you to easily extend the abilities of the [Flat Platform](https://flat.io), with",2.5.2,"22-04-2017 11:51:48","19-02-2018 08:08:39"
"Flickr API Schema","A subset of Flickr's API defined in Swagger format.",1.0.0,"23-02-2018 08:51:29","23-02-2018 08:51:29"
"API V1",,v1,"26-11-2017 17:22:38","26-11-2017 17:22:38"
Freesound,"With the Freesound APIv2 you can browse, search, and retrieve information about Freesound users, pac",2.0.0,"20-09-2017 14:00:38","20-09-2017 14:00:38"
FunTranslations,"Funtranslations API gives access to the full set of translations available at funtranslations.com so",2.3,"13-11-2017 12:15:51","13-11-2017 12:15:51"
"Furkot Trips","Furkot provides Rest API to access user trip data.
Using Furkot API an application can list user tri",1.0.0,"14-09-2016 08:16:57","04-04-2017 17:27:32"
"Geneea Natural Language Processing","<div class=""api-description"">
    <h2>Authentication</h2>
    <p>For all calls, supply your API key.",1.0,"23-08-2015 20:35:00","22-01-2018 15:44:32"
RAMADDA,"Search for data in lots of places - manage your documents, photos and critical business knowledge - ",1.0.0,"19-09-2015 02:16:17","19-02-2018 08:08:39"
GoToTraining,"The GoToTraining API enables developers to use the stable and robust GoToTraining functionality as t",1.0.0,"24-10-2015 02:39:33","11-05-2017 11:35:35"
GoToWebinar,"The GoToWebinar API provides seamless integration of webinar registrant and attendee data into your ",1.0.0,"24-10-2015 02:39:33","11-05-2017 11:35:35"
Sandbox,"Sandbox API",v1,"23-08-2016 13:48:35","04-04-2017 17:27:32"
"Getty Images","Build applications using the world's most powerful imagery",3,"30-06-2015 22:07:35","05-02-2018 08:23:20"
Giphy,"Giphy API",1.0,"27-08-2017 02:15:18","20-09-2017 08:20:19"
"Gisgraphy webservices","Since 2006, [Gisgraphy](http://www.gisgraphy.com) is a free, open source framework that offers the p",4.0.0,"04-09-2017 14:31:34","05-02-2018 07:13:13"
GitHub,"Powerful collaboration, code review, and code management for open source and private projects.
",v3,"02-12-2015 11:29:19","04-04-2017 17:27:32"
Gitlab,"The platform for modern developers
GitLab unifies issues, code review, CI and CD into a single UI",v3,"11-04-2017 09:59:29","11-04-2017 10:17:56"
"Google Abusive Experience Report","View Abusive Experience Report data, and get a list of sites that have a significant number of abusi",v1,"08-06-2017 16:31:56","19-02-2018 08:08:39"
"Accelerated Mobile Pages (AMP) URL","Retrieves the list of AMP URLs (and equivalent AMP Cache URLs) for a given list of public URL(s).
",v1,"22-05-2016 12:37:44","19-02-2018 08:08:39"
"Ad Exchange Buyer","Accesses your bidding-account information, submits creatives for validation, finds available direct ",v1.4,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Ad Exchange Buyer API II","Accesses the latest features for managing Ad Exchange accounts, Real-Time Bidding configurations and",v2beta1,"22-02-2016 20:03:41","23-10-2017 15:30:38"
"Ad Exchange Seller","Accesses the inventory of Ad Exchange seller users and generates reports.",v2.0,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Ad Experience Report","View Ad Experience Report data, and get a list of sites that have a significant number of annoying a",v1,"08-06-2017 16:31:56","19-02-2018 08:08:39"
"Admin Reports","Fetches reports for the administrators of G Suite customers about the usage, collaboration, security",reports_v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"AdSense Management","Accesses AdSense publishers' inventory and generates performance reports.",v1.4,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"AdSense Host","Generates performance reports, generates ad codes, and provides publisher management capabilities fo",v4.1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Analytics","Views and manages your Google Analytics data.",v3,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Analytics Reporting","Accesses Analytics report data.",v4,"08-04-2016 19:10:13","19-02-2018 08:08:39"
"Android Device Provisioning Partner","Automates Android zero-touch enrollment for device resellers, customers, and EMMs.",v1,"24-04-2017 10:15:00","19-02-2018 08:08:39"
"Google Play EMM","Manages the deployment of apps to Android for Work users.",v1,"14-04-2015 17:40:46","19-02-2018 08:08:39"
"Android Management","The Android Management API provides remote enterprise management of Android devices and apps.",v1,"25-09-2017 11:04:46","19-02-2018 08:08:39"
"Google Play Developer","Lets Android application developers access their Google Play accounts.",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google App Engine Admin","The App Engine Admin API enables developers to provision and manage their App Engine applications.",v1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"G Suite Activity","Provides a historical view of activity.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google App State","The Google App State API.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
BigQuery,"A data platform for customers to create, manage, share and query data.",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"BigQuery Data Transfer","Transfers data from partner SaaS applications to Google BigQuery on a scheduled, managed basis.",v1,"08-06-2017 16:31:56","19-02-2018 08:08:39"
Blogger,"API for access to the data within Blogger.",v3,"22-02-2015 20:00:45","22-01-2018 16:20:40"
Books,"Searches for books and manages your Google Books library.",v1,"22-02-2015 20:00:45","04-01-2018 14:40:55"
Calendar,"Manipulates events and other calendar data.",v3,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Civic Information","Provides polling places, early vote locations, contest data, election officials, and government repr",v2,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Classroom","Manages classes, rosters, and invitations in Google Classroom.",v1,"30-06-2015 20:09:46","19-02-2018 08:08:39"
"Google Cloud Billing","Allows developers to manage billing for their Google Cloud Platform projects
    programmatically.",v1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"Google Cloud Container Builder","Builds container images in the cloud.",v1,"25-01-2016 14:37:32","19-02-2018 08:08:39"
"Stackdriver Debugger","Examines the call stack and variables of a running application without stopping or slowing it down.
",v2,"24-07-2015 18:21:31","19-02-2018 08:08:39"
"Stackdriver Error Reporting","Groups and counts similar errors from cloud services and applications, reports new errors, and provi",v1beta1,"24-03-2016 22:42:15","19-02-2018 08:08:39"
"Google Cloud Functions","API for managing lightweight user-provided functions executed in response to events.",v1,"25-01-2016 14:37:32","19-02-2018 08:08:39"
"Google Cloud IoT","Registers and manages IoT (Internet of Things) devices that connect to the Google Cloud Platform.
",v1,"15-01-2017 17:34:50","19-02-2018 08:08:39"
"Google Cloud Key Management Service (KMS)","Manages encryption for your cloud services the same way you do on-premises. You can generate, use, r",v1,"15-01-2017 17:34:50","19-02-2018 08:08:39"
"Cloud Monitoring","Accesses Google Cloud Monitoring data.",v2beta2,"22-02-2015 20:00:45","04-10-2017 10:07:54"
"Google Cloud Resource Manager","The Google Cloud Resource Manager API provides methods for creating, reading, and updating project m",v1,"09-06-2015 12:48:30","19-02-2018 08:08:39"
"Cloud Tasks","Manages the execution of large numbers of distributed requests. Cloud Tasks is in Alpha.",v2beta2,"25-09-2017 11:04:46","19-02-2018 08:08:39"
"Stackdriver Trace","Sends application trace data to Stackdriver Trace for viewing. Trace data is collected for all App E",v2,"06-10-2015 22:48:40","19-02-2018 08:08:39"
"Cloud User Accounts","Creates and manages users and groups for accessing Google Compute Engine virtual machines.",vm_alpha,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Compute Engine","Creates and runs virtual machines on Google Cloud Platform.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Consumer Surveys","Creates and conducts surveys, lists the surveys that an authenticated user owns, and retrieves surve",v2,"08-04-2016 19:10:13","04-10-2017 10:07:54"
"Google Kubernetes Engine","The Google Kubernetes Engine API is used for building and managing container based applications, pow",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Content API for Shopping","Manages product items, inventory, and Merchant Center accounts for Google Shopping.",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
CustomSearch,"Searches over a website or collection of websites",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Dataflow","Manages Google Cloud Dataflow projects on Google Cloud Platform.",v1b3,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Cloud Dataproc","Manages Hadoop-based clusters and jobs on Google Cloud Platform.",v1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"Google Cloud Datastore","Accesses the schemaless NoSQL database to provide fully managed, robust, scalable storage for your a",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Cloud Deployment Manager","Declares, configures, and deploys complex solutions on Google Cloud Platform.",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"DCM/DFA Reporting And Trafficking","Manages your DoubleClick Campaign Manager ad campaigns and reports.",v3.0,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"APIs Discovery Service","Provides information about other Google APIs, such as what APIs are available, the resource, and met",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
DLP,"The Google Data Loss Prevention API provides methods for detection of privacy-sensitive fragments in",v2beta1,"24-04-2017 10:15:00","19-02-2018 08:08:39"
"Google Cloud DNS","Configures and serves authoritative DNS records.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"DoubleClick Bid Manager","API for viewing and managing your reports in DoubleClick Bid Manager.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"DoubleClick Search","Reports and modifies your advertising data in DoubleClick Search (for example, campaigns, ad groups,",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
Drive,"Manages files in Drive including uploading, downloading, searching, detecting changes, and updating ",v3,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Firebase Dynamic Links","Programmatically creates and manages Firebase Dynamic Links.",v1,"02-10-2016 08:32:49","19-02-2018 08:08:39"
"Firebase Remote Config","Firebase Remote Config API allows the 3P clients to manage Remote Config conditions and parameters f",v1,"25-09-2017 11:04:46","29-01-2018 10:51:01"
"Firebase Rules","Creates and manages rules that determine when a Firebase Rules-enabled service should permit a reque",v1,"12-05-2016 20:45:18","19-02-2018 08:08:39"
"Google Cloud Firestore",,v1beta1,"04-10-2017 10:07:54","19-02-2018 08:08:39"
Fitness,"Stores and accesses user data in the fitness store from apps on any platform.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Fusion Tables","API for working with Fusion Tables data.",v2,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Play Game Services","The API for Google Play Game Services.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Play Game Services Publishing","The Publishing API for Google Play Game Services.",v1configuration,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Play Game Services Management","The Management API for Google Play Game Services.",v1management,"22-02-2015 20:00:45","19-02-2018 08:08:39"
Genomics,"Upload, process, query, and search Genomics data in the cloud.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
Gmail,"Access Gmail mailboxes including sending user email.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Groups Migration","Groups Migration Api.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
